kscore	rxn.code	rxn.name	rxn.genes	rxn.formula
1.00	r_0918	phosphoserine transaminase	x(814)	3-phospho-hydroxypyruvate [cytoplasm] + L-glutamate [cytoplasm]  -> 2-oxoglutarate [cytoplasm] + 3-phospho-serine [cytoplasm] 
1.00	r_0958	pyruvate carboxylase	( x(82) | x(311) )	ATP [cytoplasm] + bicarbonate [cytoplasm] + pyruvate [cytoplasm]  -> ADP [cytoplasm] + H+ [cytoplasm] + oxaloacetate [cytoplasm] + phosphate [cytoplasm] 
1.00	r_0961	pyruvate dehydrogenase	( x(83) & x(285) & x(290) & x(364) & x(722) )	coenzyme A [mitochondrion] + NAD [mitochondrion] + pyruvate [mitochondrion]  -> acetyl-CoA [mitochondrion] + carbon dioxide [mitochondrion] + NADH [mitochondrion] 
1.00	r_0982	ribose-5-phosphate isomerase	x(794)	D-ribulose 5-phosphate [cytoplasm]  <=> ribose-5-phosphate [cytoplasm] 
1.00	r_0984	ribulose 5-phosphate 3-epimerase	x(472)	D-ribulose 5-phosphate [cytoplasm]  <=> D-xylulose 5-phosphate [cytoplasm] 
1.00	r_0996	shikimate dehydrogenase	x(173)	3-dehydroshikimate [cytoplasm] + H+ [cytoplasm] + NADPH [cytoplasm]  -> NADP(+) [cytoplasm] + shikimate [cytoplasm] 
1.00	r_0997	shikimate kinase	x(173)	ATP [cytoplasm] + shikimate [cytoplasm]  -> 3-phosphoshikimic acid [cytoplasm] + ADP [cytoplasm] + H+ [cytoplasm] 
1.00	r_1021	succinate dehydrogenase (ubiquinone-6)	(( x(179) & x(462) & x(541) & x(576) ) | ( x(179) & x(541) & x(543) & x(576) ) | ( x(971) & x(462) & x(541) & x(576) ))	succinate [mitochondrion] + ubiquinone-6 [mitochondrion]  <=> fumarate [mitochondrion] + ubiquinol-6 [mitochondrion] 
1.00	r_1048	transaldolase	( x(970) | x(635) )	glyceraldehyde 3-phosphate [cytoplasm] + sedoheptulose 7-phosphate [cytoplasm]  <=> D-erythrose 4-phosphate [cytoplasm] + D-fructose 6-phosphate [cytoplasm] 
1.00	r_1049	transketolase 1	( x(61) | x(894) )	D-xylulose 5-phosphate [cytoplasm] + ribose-5-phosphate [cytoplasm]  <=> glyceraldehyde 3-phosphate [cytoplasm] + sedoheptulose 7-phosphate [cytoplasm] 
1.00	r_1050	transketolase 2	( x(61) | x(894) )	D-erythrose 4-phosphate [cytoplasm] + D-xylulose 5-phosphate [cytoplasm]  <=> D-fructose 6-phosphate [cytoplasm] + glyceraldehyde 3-phosphate [cytoplasm] 
1.00	r_1054	triose-phosphate isomerase	x(167)	dihydroxyacetone phosphate [cytoplasm]  <=> glyceraldehyde 3-phosphate [cytoplasm] 
1.00	r_1055	tryptophan synthase (indoleglycerol phosphate)	x(307)	1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm] + L-serine [cytoplasm]  -> glyceraldehyde 3-phosphate [cytoplasm] + H2O [cytoplasm] + L-tryptophan [cytoplasm] 
1.00	r_1063	tyrosine transaminase	x(326)	3-(4-hydroxyphenyl)pyruvate [cytoplasm] + L-glutamate [cytoplasm]  <=> 2-oxoglutarate [cytoplasm] + L-tyrosine [cytoplasm] 
1.00	r_1071	UDPglucose--hexose-1-phosphate uridylyltransferase	x(37)	alpha-D-galactose 1-phosphate [cytoplasm] + UDP-D-glucose [cytoplasm]  <=> D-glucose 1-phosphate [cytoplasm] + UDP-D-galactose [cytoplasm] 
1.00	r_1084	UTP-glucose-1-phosphate uridylyltransferase	( x(946) | x(527) )	D-glucose 1-phosphate [cytoplasm] + H+ [cytoplasm] + UTP [cytoplasm]  <=> diphosphate [cytoplasm] + UDP-D-glucose [cytoplasm] 
1.00	r_2117	phenylalanine transaminase	x(420)	L-phenylalanine [cytoplasm] + pyruvate [cytoplasm]  <=> keto-phenylpyruvate [cytoplasm] + L-alanine [cytoplasm] 
1.00	r_2119	tyrosine transaminase	x(420)	3-(4-hydroxyphenyl)pyruvate [cytoplasm] + L-alanine [cytoplasm]  <=> L-tyrosine [cytoplasm] + pyruvate [cytoplasm] 
1.00	r_2194	fatty-acid--CoA ligase (dodecanoate), ER membrane	x(829)	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + laurate [endoplasmic reticulum membrane]  <=> lauroyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2195	fatty-acid--CoA ligase (tetradecanoate), ER membrane	( x(698) | x(829) )	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + myristate [endoplasmic reticulum membrane]  <=> myristoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2196	fatty-acid--CoA ligase (hexadecanoate), ER membrane	( x(698) | x(829) )	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + palmitate [endoplasmic reticulum membrane]  <=> palmitoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2197	fatty-acid--CoA ligase (hexadecenoate), ER membrane	( x(698) | x(829) )	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + palmitoleate [endoplasmic reticulum membrane]  <=> palmitoleoyl-CoA(4-) [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2199	fatty-acid--CoA ligase (octadecenoate), ER membrane	( x(698) | x(829) )	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + oleate [endoplasmic reticulum membrane]  <=> oleoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2200	fatty-acid--CoA ligase (dodecanoate), lipid particle	x(829)	coenzyme A [lipid particle] + ATP [lipid particle] + laurate [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + lauroyl-CoA [lipid particle] 
1.00	r_2201	fatty-acid--CoA ligase (tetradecanoate), lipid particle	( x(698) | x(829) )	coenzyme A [lipid particle] + ATP [lipid particle] + myristate [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + myristoyl-CoA [lipid particle] 
1.00	r_2202	fatty-acid--CoA ligase (hexadecanoate), lipid particle	( x(698) | x(829) )	coenzyme A [lipid particle] + ATP [lipid particle] + palmitate [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + palmitoyl-CoA [lipid particle] 
1.00	r_2203	fatty-acid--CoA ligase (hexadecenoate), lipid particle	( x(698) | x(829) )	coenzyme A [lipid particle] + ATP [lipid particle] + palmitoleate [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + palmitoleoyl-CoA(4-) [lipid particle] 
1.00	r_2205	fatty-acid--CoA ligase (octadecenoate), lipid particle	( x(698) | x(829) )	coenzyme A [lipid particle] + ATP [lipid particle] + oleate [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + oleoyl-CoA [lipid particle] 
1.00	r_2214	fatty-acid--CoA ligase (lignoceric acid), ER membrane	x(49)	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + lignoceric acid [endoplasmic reticulum membrane]  <=> tetracosanoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2215	fatty-acid--CoA ligase (cerotic acid), ER membrane	x(49)	coenzyme A [endoplasmic reticulum membrane] + ATP [endoplasmic reticulum membrane] + cerotic acid [endoplasmic reticulum membrane]  <=> hexacosanoyl-CoA [endoplasmic reticulum membrane] + AMP [endoplasmic reticulum membrane] + diphosphate [endoplasmic reticulum membrane] 
1.00	r_2217	fatty-acid--CoA ligase (lignoceric acid), lipid particle	x(49)	coenzyme A [lipid particle] + ATP [lipid particle] + lignoceric acid [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + tetracosanoyl-CoA [lipid particle] 
1.00	r_2218	fatty-acid--CoA ligase (cerotic acid), lipid particle	x(49)	coenzyme A [lipid particle] + ATP [lipid particle] + cerotic acid [lipid particle]  <=> diphosphate [lipid particle] + AMP [lipid particle] + hexacosanoyl-CoA [lipid particle] 
1.00	r_2305	cis-aconitate(3-) to isocitrate	x(628)	cis-aconitate [cytoplasm] + H2O [cytoplasm]  <=> isocitrate [cytoplasm] 
1.00	r_2620	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2621	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2622	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2623	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2624	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2625	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2626	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2627	MLCL (2-16:1, 3-16:0, 4-16:1):PC (1-18:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:0, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2628	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-16:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2629	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-16:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2630	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-18:0, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
1.00	r_2631	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-18:1, 2-16:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:1, 2-16:1) [mitochondrial membrane]  <=> cardiolipin (1-16:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:1) [mitochondrial membrane] 
1.00	r_2632	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-16:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:0) [mitochondrial membrane] 
1.00	r_2633	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-16:1, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-16:1, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (16:1) [mitochondrial membrane] 
1.00	r_2634	MLCL (2-16:1, 3-16:1, 4-16:1):PC (1-18:0, 2-18:1) acyltransferase, mitochondrial membrane	x(900)	monolysocardiolipin (2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + phosphatidylcholine (1-18:0, 2-18:1) [mitochondrial membrane]  <=> cardiolipin (1-18:1, 2-16:1, 3-16:1, 4-16:1) [mitochondrial membrane] + 1-acylglycerophosphocholine (18:0) [mitochondrial membrane] 
